"Bargain","砍价"
"Add Bargain","添加砍价"
"Start Time","开启时间"
"Set the bargain start time, Cutomers can initiate participation in bargaining after the set time.","设置砍价开启时间，用户可以在设置时间之后发起和参与砍价"
"End Time","结束时间"
"Set the end time of the bargain, Customers can participate in bargaining before launching within the set time.","设置砍价结束时间，用户可以在设置时间之前发起和参与砍价"
"People number","用户帮砍的次数"
"Number of people needed to bargain successfully. eg. In 3, 3 customers to help the bargain, It will be successfully.","需要多少人帮忙砍价才能成功;如： 设置3，就是需要3个用户帮忙砍价才能成功"
"Stock","库存"
"Total stock of the bargain.","砍价的总库存"
"Max quantity for purchase","购买的最大产品数"
"The customer can purchase max quantity.","用户在一个砍价中能购买到的最大产品数"
"Bargain Number","用户帮砍的次数"
"The number of times that a single product user can help, for example: Set the number of times to 1, A and B send the bargaining link of product P to C at the same time, and C can only help one of A or B to bargain.","单个商品用户可以帮砍的次数，例：次数设置为1，甲和乙同时将商品A的砍价链接发给丙，丙只能帮甲或乙其中一个人砍价"
"Min Price","最低价"
"Lowest bargain price.","砍价的最低价"
"Sort Order","排序"
"Rule","规则"
"Edit Bargain","编辑砍价"
"Edit Bargain / Bargain","编辑砍价 / 砍价"
"Add New Bargain","添加砍价"
"Add New Bargain / Bargain","添加砍价 / 砍价"
"Please choose product","请选择产品"
"Bargain max price","能砍到的最大金额"
"Bargain max price with every cutomer.","每个用户能砍到的最小金额"
"Bargain min price","能砍到的最小金额"
"Bargain min price with every cutomer.","每个用户能砍到的最小金额"
"Original Price","原价"
"Is Recommend","是否推荐"
"Bargains","砍价"
"Join in now","发起砍价"
"Invite friend to chop off price","邀请朋友帮忙砍价"
"Help your friend chop off price","帮他（她）砍一刀"
"Pay Now","去支付"
"Open more bargain","发起新的砍价"
"Help oneself to chop off price","帮自己砍一刀"
"Bargain Progress","砍价进度"
"There are %s friends to help chop off successfully and less %d","已经有%s个朋友帮你砍一刀了,还需要%d个朋友帮忙"
"Chop off","已砍"
"Less","剩余"
"The rules of bargain","砍价规则"
"Current Price","当前价格"
"You have choped off the bargain successfully","你砍价已经成功了"
"You canot start new bargain, it only can start ","你已经不能再参与这个砍价活动了，这个砍价可以参加的次是"
"You have an active bargain","你已经有一个正在进行的砍价活动了"
"You canot help the friend bargain, You have help %s friends","你不能再帮朋友砍价了， 你已经帮了%s个朋友了"
"You have help the friend in the bargain","你已经帮忙砍一刀了"
"You dont have price to bargain","价格已经不能再砍了"
"There are no bargains matching the selection.","没有砍价活动记录"
"Bargain Case","砍价事件"
"Bargain Case Help","砍价参与者"