"Account","賬戶"
"Account Balance","賬戶余額"
"Account Detail","賬戶詳情"
"Account ID","賬號"
"Account Name","戶名"
"Account Type","賬戶類型"
"Applied at","申請時間"
"Application Status Changed Notification","申請狀態更改通知"
"Available Balance","可用余額"
"Balance Info","余額說明"
"Balance Statement","余額記錄"
"Balance Refund","余額退款"
"Bank of Deposit","開戶行"
"Bind","綁定"
"Cancel recharge successfully.","取消充值成功。"
"Cancel Draw","取消提現"
"Current available balance.","當前無可使用余額。"
"Draw","提現"
"Draw Balance","余額提現"
"Draw Balance Application","提現申請"
"Edit Account","編輯賬戶"
"Edit Application","編輯申請"
"Instant Recharge","立即充值"
"Invalid amount to draw","無效的提現金額"
"Invalid account type.","無效的賬戶類型"
"My Billing","我的賬單"
"No available balance.","沒有可用余額"
"Order Cancelled","訂單取消"
"Product for Recharge","用於充值產品"
"Recharge","充值"
"Refunded","已退款"
"Recharge Amount","充值金額"
"Recharge Orders","充值訂單"
"Recharge Product","充值產品"
"Restore Spent Balances After Order Refunding","訂單退款後返還已使用余額"
"Successful Trade","交易成功"
"We have received your application. The audit will be arranged in 3 days. Thanks for your support.","我們已收到您的申請，並將在3日內處理完成。感謝您的支持。"
"You have %d balances left. You can use %d for current transaction.","您當前有余額%d。您可以使用%d余額進行當前操作。"
"Your application has been canceled.","您的申請已取消"
"Balance Management","余額管理"
"Balance List","余額列表"
"Payment trade id","交易流水ID"
"Withdraw Balance Application","提現申請"
"Balance Statistics With Customer","余額用戶統計"
"Total Consumption","總支出"
"Total Top Up","充值總額"
"Total Withdraw","提現總額"