"(%d pcs in stock)","(庫存%d件)"
"%s is out of stock.","%s已下架。"
"Add New Category","新建分類"
"Add New Option","新增屬性"
"Add New Product","新建產品"
"Add New Product Attribute","新建產品屬性"
"Add New Product Attribute Set","新建產品屬性集"
"Add New Rating","新建評分"
"Add New Review","新建評論"
"Add New Root Category","新建根分類"
"Add New Row","新增行"
"Add Review","評論曬單"
"Add to Cart","加入購物車"
"Add to Wishlist","收藏"
"Additional","額外屬性"
"Additional Attributes","額外屬性"
"Akismet API Key","Akismet API授權碼"
"All","全部"
"All Products","所有產品"
"Allow All Products","允許顯示所有產品選項"
"Allow Guests to Write Reviews","允許遊客評論"
"Allowed Number of Products per Page on Grid","網格模式每頁允許產品數量"
"Allowed Number of Products per Page on List","列表模式每頁允許產品數量"
"Allow Qty Below 0","允許數量低於0"
"and above","及以上"
"Append","追加"
"Approved","已批準"
"Backorders","訂單拖欠"
"Barcode","條形碼"
"Bottom/Left","左下"
"Bottom/Right","右下"
"Branch %s","%s倉庫"
"Buy Now","立即購買"
"Catalog Configuration","產品配置"
"Catalog Management","目錄管理"
"Category","分類"
"Category Infomation","分類信息"
"Category Management","分類管理"
"Cart","購物車"
"Center","中部"
"Comma-separated.","使用逗號分隔"
"Copy Link","復制鏈接"
"Cross-sells","交叉銷售"
"Custom Options","自定義選項"
"Custom Service","客服"
"Default Image","默認圖像"
"Default Number of Products per Page on Grid","網格模式默認每頁產品數量"
"Default Number of Products per Page on List","列表模式默認每頁產品數量"
"Default Status","默認狀態"
"Delete Row","刪除行"
"Delete Option","刪除屬性"
"Discussion","討論"
"Display Settings","顯示設置"
"Each Product Belongs to Maximum Count of Categories","每個產品可屬於的最大分類數"
"Edit Product","編輯產品"
"Edit Product Attribute","編輯產品屬性"
"Edit Product Attribute Set","編輯產品屬性集"
"Edit Rating","編輯評分"
"Edit Review","編輯評論"
"Enter the keywords for searching","請輸入搜索內容"
"Example: sitemap","例如: sitemap"
"Example: ""sitemap/"" or ""/"" for base path (path must be writeable)","例如: ""sitemap/""或""/""(相對於網站根目錄，路徑必須可寫。)"
"Example format: 200x200","例如: 200x200"
"Featured Products","相關推薦"
"Fixed","固定"
"Image Group","圖片分組"
"Images","圖像"
"In Stock","有貨"
"Inquiries","產品咨詢"
"Inventory","庫存"
"Maximum Qty","最高購買量"
"Meta Infomation","Meta信息"
"Minimum Qty","最低購買量"
"More","更多"
"New Product","新產品"
"MSRP","建議零售價"
"No Backorders","無拖欠訂單"
"Not Approved","未批準"
"Old Price","原價"
"Opacity of Watermark","水印透明度"
"Order(s)","交易成功"
"Out of Stock","缺貨"
"pcs","件"
"Percent","百分比"
"Please select the color size","請選擇顏色尺寸"
"Position of Watermark","水印位置"
"Press CTRL+C to copy link.","按CTRL+C復制鏈接。"
"Price","價格"
"Price Type","價格類型"
"Product","產品"
"Product ID","產品ID"
"Product Attribute","產品屬性"
"Product Attribute Set","產品屬性集"
"Product Code","產品代碼"
"Product Infomation","產品信息"
"Product Management","產品管理"
"Product Name","產品名稱"
"Product Type","產品類型"
"Products only","僅顯示產品"
"Promoting","促銷中"
"Qty Increments","數量步長"
"Qty Uses Decimals","數量使用小數"
"Rating","評分"
"Rating Management","評分管理"
"Recently Added Products","最近加入的產品"
"Regular Price","常規價格"
"Related Products","相關產品"
"Remove","移除"
"Reply","回復"
"Reserved Qty","庫存預留"
"Review(s)","累計評論"
"Review","評論"
"Reviews","產品評論"
"Review Management","評論管理"
"Search","搜索"
"Search Frequency For Unregistered Customer","未登錄顧客可搜索次數"
"Search Interval","搜索間隔"
"Search Result","搜索結果"
"Share","分享"
"Share to ","分享到"
"Simple Product","普通產品"
"Sitemap","站點結構圖"
"Size of Watermark","水印尺寸"
"Special Price","特價"
"Specifications","詳細參數"
"Static block only","僅顯示靜態塊"
"Static block and products","顯示靜態塊與產品"
"Subject","主題"
"Store-category","店鋪分類"
"The administrator limits the search interval to %ds, please try it later.","系統管理員將搜索間隔限制為%d秒，請稍後再試。"
"The sitemap has been generated.","站點結構圖已生成。"
"There are no products matching the selection.","未找到滿足條件的產品"
"There has been no inquiry yet.","暫時沒有相關咨詢"
"There has been no review yet.","暫時沒有相關評論"
"This product is currently out of stock.","該產品目前缺貨"
"Top/Left","左上"
"Top/Right","右上"
"Total","合計"
"Up-sells","向上銷售"
"Value","值"
"View %d per page","每頁顯示%d條"
"Virtual Product","虛擬產品"
"Visitor","遊客"
"Warehouse","倉庫"
"We have received your inquiry.","產品咨詢提交成功"
"We have received your review.","產品評論提交成功"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","是否在""每頁顯示X條""菜單中顯示""所有產品""選項"
"Wishlist","收藏夾"
"You add the category already exists, please re add.","您添加的分類已存在，請重新添加."
"You May Also Like","您可能還會喜歡"
"Please enter products keyword","請輸入產品關鍵詞"
"Please choose ","請選擇"
"After-sales Service","售後服務"
"Sale","優惠"
"Warehouse Management","倉庫管理"
"Inventory Management","庫存管理"
"Contact Info","聯系信息"
"Longitude","經度"
"Latitude","緯度"
"Open At","開始營業時間"
"Close At","結束營業時間"
"Add New Warehouse","添加倉庫"
"Edit Warehouse","編輯倉庫"
"Product Relate Post Management","產品關聯貼子管理"
"To choose posts","去選擇帖子"
"Product Linked Management","產品關聯管理"
"Crosssells","看了又看"
"Preset Row","預設行"
"Only support mp4","僅支持mp4"
"Please select a video","請選擇一個視頻"
"Please select an image","請選擇一張圖片"
"Images/Video","圖像/視頻"