"""%s"" has been added to your shopping cart.","""%s""已成功加入購物車"
"""%s"" has been moved to your wishlist.","""%s""已成功移入收藏夾"
"""%s"" has been removed from your shopping cart.","""%s""已成功從購物車移出"
"%d item(s)","共%d件商品"
"%d item(s) has been removed from your shopping cart.","%d件產品已成功從購物車移出"
"%s item(s) in cart","購物車共有%s件商品"
"Add New Address","新增收貨地址"
"All items have been removed from your shopping cart.","所有產品都已成功從購物車移出"
"Allow Guest Checkout","允許遊客結算"
"An error detected.","檢測到壹個錯誤。"
"Billing Address","賬單地址"
"Checkout","結算"
"Checkout Configuration","結算設置"
"Click here to view order details","點擊這裏查看訂單細節"
"Comment","備註"
"Complate","交易成功"
"Continue Shopping","繼續購物"
"Default Address","默認地址"
"Delete Selected Item(s)","刪除選中商品"
"Do not use coupons.","不使用優惠券"
"Enable Terms and Conditions","啟用服務條款"
"Item(s) Selected","件商品已選中"
"Message","留言"
"Minimum Amount","最小購買量"
"Move to Wishlist","移入收藏夾"
"More Address","更多地址"
"My Wishlist","我的收藏"
"Order Confirmation","確認訂單"
"Order ID","訂單ID"
"Place Order","提交訂單"
"Please confirm the order infomation","請確認訂單信息"
"Please select payment method","請選擇支付方式"
"Please select shipping address","請選擇收貨地址"
"Please select shipping method","請選擇運輸方式"
"Price","單價"
"Product Infomation","商品信息"
"Qty","數量"
"Recently Viewed","最近瀏覽"
"Select All","全選"
"Shipping","運費"
"Shipping Address","收貨地址"
"Shipping Method","配送方式"
"Shopping Cart","購物車"
"Shopping Cart Is Empty","購物車是空的"
"Subtotal","小計"
"Store ID","店鋪ID"
"The %s field is required and cannot be empty.","%s不可為空。"
"The allowed minimal amount is %s, current is %s.","最小購買量為%s, 當前為%s。"
"The requested quantity for ""%s"" is not available.","""%s""庫存不足"
"This option is required and cannot be empty.","該選項是必填項"
"Total","合計"
"View Cart","查看購物車"
"View Order","查看訂單詳情"
"We are appreciated that you can choose our products.","感謝您選擇我們的產品。"
"You May Like","猜妳喜歡"
"You have no items in your shopping cart.","購物車中還沒有商品"
"You have no items in your shopping cart.<br />Click <a href=""%s"">here</a> to continue shopping.","購物車中還沒有商品。<br />單擊 <a href=""%s"">這裏</a> 繼續購物。"
"Your order has been received.","我們已經收到您的訂單。"
"Your Order ID","您的訂單號是"
"Please choose shipping address","請選擇收貨地址"
"Please add and choose shipping address","請添加和選擇收貨地址"
"Rewardpoints","積分"