"Account Infomation","賬戶信息"
"Account Password Modification","賬戶密碼修改"
"Account Infomation/Password Edit","賬戶信息/密碼修改"
"Address Administration","地址管理"
"Add a New Address","添加新地址"
"Address Infomation","地址信息"
"Add New Address Attribute","新建地址屬性"
"Add New Customer","新建顧客"
"Add New Customer Attribute Group","新建顧客屬性組"
"Add New Customer Attribute Set","新建顧客屬性集"
"Add New Customer Attribute","新建顧客屬性"
"Add New Customer Group","新建顧客組"
"Add New Customer Level","新建顧客等級"
"Address","地址"
"Address Attribute","地址屬性"
"Address Attribute Management","地址屬性管理"
"Address Book","地址簿"
"After number of attempts to login","嘗試登錄壹定次數後"
"All Customers","所有顧客"
"Allowed SSO","允許單點登錄"
"Allowed SSO Url","允許單點登錄Url"
"Already Registered","已有賬號"
"Always","總是"
"Amount","數額"
"Amount of the transaction","交易金額"
"Application Time","申請時間"
"Asset Center","資產中心"
"Available Date","有效日期"
"AvailableIn","有效範圍"
"Avatar","頭像圖片"
"Balance","余額"
"Browsing History","瀏覽歷史"
"CAPTCHA","驗證碼"
"Center of Attention","關註中心"
"Closing Time","成交時間"
"Concerned about the Store","關註的店鋪"
"Condition","使用條件"
"Confirm password","確認密碼"
"Confirmation Email Template","確認郵件模板"
"Contact Us","聯系我們"
"Create an Account","註冊新賬號"
"Create New Customer Account","創建新用戶賬戶"
"Customer","顧客"
"Customer Attribute","顧客屬性"
"Customer Attribute Group","顧客屬性組"
"Customer Attribute Set","顧客屬性集"
"Customer Configuration","顧客配置"
"Customer Group","顧客組"
"Customer Level","顧客等級"
"Customer Login","顧客登錄"
"Customer Management","顧客管理"
"Customer Media","社交媒體"
"Customer Service","客戶服務"
"Customer Service Sender","客服發件郵箱"
"Customer will stay on the current page if ""No"" is selected.","如果選擇""否""顧客將返回登錄前頁面"
"Default Address","默認地址"
"Default Attribute Set","默認屬性集"
"Default Customer Group","默認顧客組"
"Delete","刪除"
"Delivery","待發貨"
"Detailed address","詳細地址"
"Details of the refund","退款詳情"
"Displaying Mode","顯示方式"
"Edit Account Infomation","編輯賬戶信息"
"Edit Address","編輯地址"
"Edit Customer","編輯顧客"
"Edit Customer Attribute","編輯顧客屬性"
"Edit Customer Attribute Group","編輯顧客屬性組"
"Edit Customer Attribute Set","編輯顧客屬性集"
"Edit Customer Group","編輯顧客組"
"Edit Customer Level","編輯顧客等級"
"Edit Password","修改密碼"
"Email","電子郵箱"
"Enter the Store","進入店鋪"
"Enter the Store Center","進入商家中心"
"Express delivery","快遞"
"Female","女"
"Forgot Password","忘記密碼"
"Forgot Your Password","忘記密碼"
"Format in Multiple Lines","多行格式"
"Format in One Line","單行格式"
"Forms","表單"
"Gender","性別"
"Get it right now","立即領取"
"Guest","遊客"
"Help Center","幫助中心"
"Human-Friendly ID","人性化ID"
"I discount information","我的優惠信息"
"I have read and agreed to the","我已閱讀並同意"
"If 0 is specified, CAPTCHA on the Login form will be always available.","如果設置為0，登錄驗證碼將總是顯示。"
"In the area","所在地區"
"Including Shipping Fee: %s","含運費: %s"
"Introduction","店鋪簡介"
"Invalid username.","無效的用戶名"
"Invalid username or password.","無效的用戶名或密碼。"
"Last Logged in","最後登錄時間"
"Latest Order","最新訂單"
"Large picture recommended size","大圖片建議尺寸"
"Last Logged in","最後登錄時間"
"Level","等級"
"Live Chat","在線溝通"
"Log in","登錄"
"Log in to your account","賬戶登錄"
"Log out","退出"
"Login Now","請登錄"
"Login Options","登錄選項"
"Logistics speed","物流速度"
"Male","男"
"Member Infomation","會員資料"
"Modify","修改"
"Modify the picture","修改頭像"
"My Coupons","我的優惠券"
"My Following","我的關註"
"My Reward Points","我的積分"
"My Shopping Cart","我的購物車"
"My Order","我的訂單"
"My Orders","我的訂單"
"My Points","我的積分"
"My Preferential","我的優惠信息"
"My Tracks","我的足跡"
"New Address","新建地址"
"New Password","新密碼"
"New store opening, a lot of concessions, each single order over 300 yuan, the package of mail","新店開張，優惠多多，每單筆訂單滿300元，包郵"
"Not Logged In","未登錄顧客"
"Number of Symbols","字符數"
"Number of Unsuccessful Attempts to Login","嘗試登錄失敗次數"
"Old Password","原密碼"
"Operating","操作"
"Order Center","訂單中心"
"Order Details","訂單詳情"
"Order Today","今日訂單"
"Password Forgotten Email Template","忘記密碼郵件模板"
"Password Modified Email Template","修改密碼郵件模板"
"My Account","個人中心"
"Personal Info","個人信息"
"Please check your email after submiting","請在成功提交後檢查您的電子郵箱"
"Please fill your username in the blank","請在空白處填寫您的用戶名"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed. Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","請只使用字母(a-z或A-Z)或數字(0-9)，不允許使用空格或其他字符。相似的字符(如：""i"",""l"",""1"")將降低驗證碼辨識度。"
"Qingdao, Shandong","山東青島"
"QQ Login","QQ登錄"
"Quantity","購買數量"
"Reason","原因"
"Receiver","收貨人"
"Redirect Customer to Account Dashboard after Logging in","登錄後重定向到顧客中心"
"Refund rights","待退款"
"Refund Details","退款詳情"
"Register","註冊"
"Registerd at","註冊時間"
"Registion Options","註冊選項"
"Registered Store","註冊店鋪"
"Remember Username","記住用戶名"
"Require Emails Confirmation","需要郵件確認"
"Reviewing","待評論"
"Service Attitude","服務態度"
"Service Agreement","《服務條款》"
"the rules and instructions of group shopping","拼團規則及使用說明"
"Click here to view","點此查看"
"Service Type","服務類型"
"Set as Default","設為默認"
"Shopping","購物"
"Sign up","註冊"
"Sign up Now","立即註冊"
"Sign up for Newsletter","註冊並訂閱郵件"
"Social Media Management","社交媒體管理"
"Sold Products","已賣出的寶貝"
"Subscribe for Promotions","訂閱平臺促銷信息"
"Symbols Used in CAPTCHA","驗證碼中使用字符"
"Tel","電話號碼"
"Telephone","電話號碼"
"Telephone/Cell phone","電話/手機"
"Thanks for your registion.","註冊成功。"
"The address has been deleted successfully.","地址已成功刪除。"
"The address has been saved successfully.","地址已成功保存。"
"The balance of","余額"
"The current password","當前密碼"
"The current password is incorrect.","當前密碼錯誤。"
"The description has been updated successfully.","描述已更新成功。"
"The field email has been used.","此郵件已被使用。"
"The field username has been used.","此用戶名已被使用。"
"The product has been added to wishlist successfully.","產品已成功加入收藏夾。"
"The product has been removed from wishlist successfully.","產品已成功移出收藏夾。"
"The order details","訂單詳情"
"There is no product in wishlist.","收藏夾中沒有產品。"
"This account is not confirmed.","該賬戶未通過確認。"
"To","至"
"To be received","待收貨"
"Total %d item(s)","共%d件商品"
"Total visitors yesterday","昨日總訪客"
"Trading Hours","交易時間"
"Trading Status","交易狀態"
"Transaction Management","交易管理"
"Transaction Operation","交易操作"
"Update Image","修改圖片"
"Username/Email","用戶名/電子郵箱"
"Username","用戶名"
"User Registration Source","用戶註冊來源"
"View Details","查看詳情"
"View Orders","查看訂單"
"View Reviews","查看評價"
"Waybill Tracking","運單追蹤"
"We have received your application. The customer service will contact you as soon as possible. Thanks for your support.","我們已收到您的申請，客服人員會盡快與您聯系，感謝您的支持。"
"We use the key to encrypt/decrypt sso result.","使用該密鑰加密/解密單點登錄結果。"
"WeChat Login","微信登錄"
"Welcome Email Template","歡迎郵件模板"
"Welcome - Login","歡迎光臨 - 登錄"
"Welcome - Register","歡迎光臨 - 註冊"
"Wishlist Time","收藏時間"
"Yesterday sales amount","昨日銷售金額"
"You have logged out successfully.","您已成功註銷。"
"you have no browsing history!","您沒有瀏覽商品記錄！"
"You will receive an email with a temporary password.","您將會收到壹封包含臨時密碼的郵件。"
"Zip code","郵編"
"Username or Email","用戶名或郵箱"
"Please enter Username or Email","請輸入用戶名或郵箱"
"Please enter Password","請輸入密碼"
"Please enter Username","請輸入用戶名"
"Confirm password do not equal to password","確認密碼和密碼不一至"
"Please enter Email","請輸入郵箱"
"You must agree","你一定要同意"
"Choose image","選擇圖片"
"My referees","我的推薦人"
"Referrer","推薦人"
"Customer Login Log","顧客登陸日誌"
"Secrecy","保密"
"Please enter ","請輸入 "
"Please choose ","請選擇 "
"login successfully","登陸成功"
"login failure, useranme and password invaid","登陸失敗，用戶名和密碼不對"