"Add New Translation","添加翻譯語句"
"Mountain Standard Time (America/Denver)","山地標準時間 (美洲/丹佛)"
"Mountain Standard Time (America/Edmonton)","山地標準時間 (美洲/埃德蒙頓)"
"Mountain Standard Time (America/Inuvik)","山地標準時間 (美洲/伊努維克)"
"Mountain Standard Time (America/Ojinaga)","山地標準時間 (美洲/奧希納加)"
"Mountain Standard Time (America/Shiprock)","山地標準時間 (美洲/希普羅克)"
"Mountain Standard Time (America/Yellowknife)","山地標準時間 (美洲/耶洛奈夫)"
"Mountain Standard Time (MST7MDT)","山地標準時間 (MST7MDT)"
"Mountain Standard Time (Mexico) (America/Chihuahua)","山地標準時間 (墨西哥) (美洲/奇瓦瓦)"
"Mountain Standard Time (Mexico) (America/Mazatlan)","山地標準時間 (墨西哥) (美洲/馬薩特蘭)"
"Myanmar Standard Time (Asia/Rangoon)","緬甸標準時間 (亞洲/仰光)"
"Myanmar Standard Time (Indian/Cocos)","緬甸標準時間 (印度/科科斯)"
"N. Central Asia Standard Time (Asia/Novokuznetsk)","中亞北部標準時間 (亞洲/新庫茲涅茨克)"
"N. Central Asia Standard Time (Asia/Novosibirsk)","中亞北部標準時間 (亞洲/新西伯利亞)"
"N. Central Asia Standard Time (Asia/Omsk)","中亞北部標準時間 (亞洲/鄂木斯克)"
"Namibia Standard Time (Africa/Windhoek)","納米比亞標準時間 (非洲/溫得和克)"
"Nepal Standard Time (Asia/Katmandu)","尼泊爾標準時間 (亞洲/加德滿都)"
"New Zealand Standard Time (Antarctica/McMurdo)","新西蘭標準時間 (南極洲/麥克默多)"
"New Zealand Standard Time (Antarctica/South_Pole)","新西蘭標準時間 (南極洲/南極)"
"New Zealand Standard Time (Pacific/Auckland)","新西蘭標準時間 (太平洋/奧克蘭)"
"Newfoundland Standard Time (America/St_Johns)","紐芬蘭標準時間 (美洲/聖約翰斯)"
"North Asia East Standard Time (Asia/Irkutsk)","北東亞標準時間 (亞洲/伊爾庫茨克)"
"North Asia Standard Time (Asia/Krasnoyarsk)","北亞標準時間 (亞洲/克拉斯諾亞爾斯克)"
"Pacific SA Standard Time (America/Santiago)","太平洋南美洲標準時間 (美洲/聖地亞哥)"
"Pacific SA Standard Time (Antarctica/Palmer)","太平洋南美洲標準時間 (南極洲/帕爾默地)"
"Pacific Standard Time (America/Dawson)","太平洋標準時間 (美洲/道森)"
"Pacific Standard Time (America/Los_Angeles)","太平洋標準時間 (美洲/洛杉磯)"
"Pacific Standard Time (America/Tijuana)","太平洋標準時間 (美洲/蒂華納)"
"Pacific Standard Time (America/Vancouver)","太平洋標準時間 (美洲/溫哥華)"
"Pacific Standard Time (America/Whitehorse)","太平洋標準時間 (美洲/白馬)"
"Pacific Standard Time (Mexico) (America/Santa_Isabel)","太平洋標準時間 (墨西哥) (美洲/聖伊薩貝爾)"
"Pacific Standard Time (PST8PDT)","太平洋標準時間 (PST8PDT)"
"Pakistan Standard Time (Asia/Karachi)","巴基斯坦標準時間 (亞洲/卡拉奇)"
"Paraguay Standard Time (America/Asuncion)","巴拉圭標準時間 (美洲/亞松森)"
"Romance Standard Time (Africa/Ceuta)","中歐標準時間 (非洲/休達)"
"Romance Standard Time (Europe/Brussels)","中歐標準時間 (歐洲/布魯塞爾)"
"Romance Standard Time (Europe/Copenhagen)","中歐標準時間 (歐洲/哥本哈根)"
"Romance Standard Time (Europe/Madrid)","中歐標準時間 (歐洲/馬德裏)"
"Romance Standard Time (Europe/Paris)","中歐標準時間 (歐洲/巴黎)"
"Russian Standard Time (Europe/Moscow)","俄羅斯標準時間 (歐洲/莫斯科)"
"Russian Standard Time (Europe/Samara)","俄羅斯標準時間 (歐洲/薩馬拉)"
"Russian Standard Time (Europe/Volgograd)","俄羅斯標準時間 (歐洲/伏爾加格勒)"
"SA Eastern Standard Time (America/Araguaina)","南美洲東部標準時間 (美洲/阿拉圭納)"
"SA Eastern Standard Time (America/Belem)","南美洲東部標準時間 (美洲/貝倫)"
"SA Eastern Standard Time (America/Cayenne)","南美洲東部標準時間 (美洲/卡宴)"
"SA Eastern Standard Time (America/Fortaleza)","南美洲東部標準時間 (美洲/福塔雷薩)"
"SA Eastern Standard Time (America/Maceio)","南美洲東部標準時間 (美洲/馬塞約)"
"SA Eastern Standard Time (America/Paramaribo)","南美洲東部標準時間 (美洲/帕拉馬裏博)"
"SA Eastern Standard Time (America/Recife)","南美洲東部標準時間 (美洲/累西腓)"
"SA Eastern Standard Time (America/Santarem)","南美洲東部標準時間 (美洲/聖塔倫)"
"SA Eastern Standard Time (Antarctica/Rothera)","南美洲東部標準時間 (南極洲/路德)"
"SA Eastern Standard Time (Atlantic/Stanley)","南美洲東部標準時間 (大西洋/斯坦利)"
"SA Eastern Standard Time (Etc/GMT+3)","南美洲東部標準時間 (ETC/GMT+3)"，
"SA Pacific Standard Time (America/Bogota)","南美洲太平洋標準時間 (美洲/波哥大)"
"SA Pacific Standard Time (America/Cayman)","南美洲太平洋標準時間 (美洲/開曼)"
"SA Pacific Standard Time (America/Coral_Harbour)","南美洲太平洋標準時間 (美洲/科勒爾港)"
"SA Pacific Standard Time (America/Eirunepe)","南美洲太平洋標準時間 (美洲/埃魯內佩)"
"SA Pacific Standard Time (America/Guayaquil)","南美洲太平洋標準時間 (美洲/瓜亞基爾)"
"SA Pacific Standard Time (America/Jamaica)","南美洲太平洋標準時間 (美洲/牙買加)"
"SA Pacific Standard Time (America/Lima)","南美洲太平洋標準時間 (美洲/利馬)"
"SA Pacific Standard Time (America/Panama)","南美洲太平洋標準時間 (美洲/巴拿馬)"
"SA Pacific Standard Time (America/Rio_Branco)","南美洲太平洋標準時間 (美洲/裏奧布朗庫)"
"SA Pacific Standard Time (Etc/GMT+5)","南美洲太平洋標準時間 (ETC/GMT+5)"，
"SA Western Standard Time (America/Anguilla)","南美洲西部標準時間 (美洲/安圭拉)"
"SA Western Standard Time (America/Antigua)","南美洲西部標準時間 (美洲/安提瓜)"
"SA Western Standard Time (America/Aruba)","南美洲西部標準時間 (美洲/阿魯巴島)"
"SA Western Standard Time (America/Barbados)","南美洲西部標準時間 (美洲/巴巴多斯)"
"SA Western Standard Time (America/Blanc-Sablon)","南美洲西部標準時間 (美洲/勃朗薩布隆)"
"SA Western Standard Time (America/Boa_Vista)","南美洲西部標準時間 (美洲/博阿維斯塔)"
"SA Western Standard Time (America/Curacao)","南美洲西部標準時間 (美洲/庫拉索)"
"SA Western Standard Time (America/Dominica)","南美洲西部標準時間 (美洲/多米尼加)"
"SA Western Standard Time (America/Grenada)","南美洲西部標準時間 (美洲/格林納達)"
"SA Western Standard Time (America/Guadeloupe)","南美洲西部標準時間 (美洲/瓜德羅普島)"
"SA Western Standard Time (America/Guyana)","南美洲西部標準時間 (美洲/圭亞那)"
"SA Western Standard Time (America/Kralendijk)","南美洲西部標準時間 (美洲/克拉倫代克)"
"SA Western Standard Time (America/La_Paz)","南美洲西部標準時間 (美洲/拉巴斯)"
"SA Western Standard Time (America/Lower_Princes)","南美洲西部標準時間 (美洲/庫拉索)"
"SA Western Standard Time (America/Manaus)","南美洲西部標準時間 (美洲/馬瑙斯)"
"SA Western Standard Time (America/Marigot)","南美洲西部標準時間 (美洲/馬裏戈)"
"SA Western Standard Time (America/Martinique)","南美洲西部標準時間 (美洲/馬提尼克島)"
"SA Western Standard Time (America/Montserrat)","南美洲西部標準時間 (美洲/蒙特塞拉特)"
"SA Western Standard Time (America/Port_of_Spain)","南美洲西部標準時間 (美洲/西班牙港)"
"SA Western Standard Time (America/Porto_Velho)","南美洲西部標準時間 (美洲/波多韋柳)"
"SA Western Standard Time (America/Puerto_Rico)","南美洲西部標準時間 (美洲/波多黎各)"
"SA Western Standard Time (America/Santo_Domingo)","南美洲西部標準時間 (美洲/聖多明各)"
"SA Western Standard Time (America/St_Barthelemy)","南美洲西部標準時間 (美洲/聖巴托洛繆島)"
"SA Western Standard Time (America/St_Kitts)","南美洲西部標準時間 (美洲/聖基茨)"
"SA Western Standard Time (America/St_Lucia)","南美洲西部標準時間 (美洲/聖盧西亞)"
"SA Western Standard Time (America/St_Thomas)","南美洲西部標準時間 (美洲/聖托馬斯)"
"SA Western Standard Time (America/St_Vincent)","南美洲西部標準時間 (美洲/聖文森特)"
"SA Western Standard Time (America/Tortola)","南美洲西部標準時間 (美洲/托爾托拉)"
"SA Western Standard Time (Etc/GMT+4)","南美洲西部標準時間 (ETC/GMT+4)"
"SE Asia Standard Time (Antarctica/Davis)","東南亞標準時間 (南極洲/戴維斯)"
"SE Asia Standard Time (Asia/Bangkok)","東南亞標準時間 (亞洲/曼谷)"
"SE Asia Standard Time (Asia/Hovd)","東南亞標準時間 (亞洲/科布多)"
"SE Asia Standard Time (Asia/Jakarta)","東南亞標準時間 (亞洲/雅加達)"
"SE Asia Standard Time (Asia/Phnom_Penh)","東南亞標準時間 (亞洲/金邊)"
"SE Asia Standard Time (Asia/Pontianak)","東南亞標準時間 (亞洲/坤甸)"
"SE Asia Standard Time (Asia/Saigon)","東南亞標準時間 (亞洲/西貢)"
"SE Asia Standard Time (Asia/Vientiane)","東南亞標準時間 (亞洲/萬象)"
"SE Asia Standard Time (Etc/GMT-7)","東南亞標準時間 (ETC/GMT-7)"
"SE Asia Standard Time (Indian/Christmas)","東南亞標準時間 (印度/聖誕節)"
"Samoa Standard Time (Pacific/Apia)","薩摩亞標準時間 (太平洋/阿皮亞)"
"Singapore Standard Time (Asia/Brunei)","新加坡標準時間 (亞洲/文萊)"
"Singapore Standard Time (Asia/Kuala_Lumpur)","新加坡標準時間 (亞洲/吉隆坡)"
"Singapore Standard Time (Asia/Kuching)","新加坡標準時間 (亞洲/古晉)"
"Singapore Standard Time (Asia/Makassar)","新加坡標準時間 (亞洲/望加錫)"
"Singapore Standard Time (Asia/Manila)","新加坡標準時間 (亞洲/馬尼拉)"
"Singapore Standard Time (Asia/Singapore)","新加坡標準時間 (亞洲/新加坡)"
"Singapore Standard Time (Etc/GMT-8)","新加坡標準時間 (ETC/GMT-8)"
"South Africa Standard Time (Africa/Blantyre)","非洲南部標準時間 (非洲/布蘭太爾)"
"South Africa Standard Time (Africa/Bujumbura)","非洲南部標準時間 (非洲/布瓊布拉)"
"South Africa Standard Time (Africa/Gaborone)","非洲南部標準時間 (非洲/哈博羅內)"
"South Africa Standard Time (Africa/Harare)","非洲南部標準時間 (非洲/哈拉雷)"
"South Africa Standard Time (Africa/Johannesburg)","非洲南部標準時間 (非洲/約翰內斯堡)"
"South Africa Standard Time (Africa/Kigali)","非洲南部標準時間 (非洲/基加利)"
"South Africa Standard Time (Africa/Lubumbashi)","非洲南部標準時間 (非洲/盧本巴希)"
"South Africa Standard Time (Africa/Lusaka)","非洲南部標準時間 (非洲/盧薩卡)"
"South Africa Standard Time (Africa/Maputo)","非洲南部標準時間 (非洲/馬普托)"
"South Africa Standard Time (Africa/Maseru)","非洲南部標準時間 (非洲/馬塞盧)"
"South Africa Standard Time (Africa/Mbabane)","非洲南部標準時間 (非洲/姆巴巴內)"
"South Africa Standard Time (Etc/GMT-2)","非洲南部標準時間 (ETC/GMT-2)"
"Sri Lanka Standard Time (Asia/Colombo)","斯裏蘭卡標準時間 (亞洲/科倫坡)"
"Syria Standard Time (Asia/Damascus)","敘利亞標準時間 (亞洲/大馬士革)"
"Taipei Standard Time (Asia/Taipei)","臺北標準時間 (亞洲/臺北)"
"Tasmania Standard Time (Australia/Currie)","塔斯馬尼亞島標準時間 (澳大利亞/柯裏)"
"Tasmania Standard Time (Australia/Hobart)","塔斯馬尼亞島標準時間 (澳大利亞/霍巴特)"
"Tokyo Standard Time (Asia/Dili)","東京標準時間 (亞洲/帝力)"
"Tokyo Standard Time (Asia/Jayapura)","東京標準時間 (亞洲/查亞普拉)"
"Tokyo Standard Time (Asia/Tokyo)","東京標準時間 (亞洲/東京)"
"Tokyo Standard Time (Etc/GMT-9)","東京標準時間 (ETC/GMT-9)"
"Tokyo Standard Time (Pacific/Palau)","東京標準時間 (太平洋/帕勞)"
"Tonga Standard Time (Etc/GMT-13)","湯加標準時間 (ETC/GMT-13)"
"Tonga Standard Time (Pacific/Enderbury)","湯加標準時間 (太平洋/恩德伯裏)"
"Tonga Standard Time (Pacific/Fakaofo)","湯加標準時間 (太平洋/法考福)"
"Tonga Standard Time (Pacific/Tongatapu)","湯加標準時間 (太平洋/湯加塔布島)"
"Turkey Standard Time (Europe/Istanbul)","土耳其標準時間 (歐洲/伊斯坦布爾)"
"US Eastern Standard Time (America/Indiana/Marengo)","美國東部標準時間 (美洲/印第安納州/馬倫戈)"
"US Eastern Standard Time (America/Indiana/Vevay)","美國東部標準時間 (美洲/印第安納州/韋韋)"
"US Eastern Standard Time (America/Indianapolis)","美國東部標準時間 (美洲/印第安納波利斯)"
"US Mountain Standard Time (America/Creston)","美國山地標準時間 (美洲/克雷斯頓)"
"US Mountain Standard Time (America/Dawson_Creek)","美國山地標準時間 (美洲/道森克裏克)"
"US Mountain Standard Time (America/Hermosillo)","美國山地標準時間 (美洲/埃莫西約)"
"US Mountain Standard Time (America/Phoenix)","美國山地標準時間 (美洲/鳳凰城)"
"US Mountain Standard Time (Etc/GMT+7)","美國山地標準時間 (ETC/GMT + 7)"
"UTC (America/Danmarkshavn)","UTC (美洲/丹馬沙)"
"UTC (Etc/GMT)","UTC (ETC/GMT)"
"UTC+12 (Etc/GMT-12)","UTC+12 (ETC/GMT-12)"
"UTC+12 (Pacific/Funafuti)","UTC+12 (太平洋/富納富提)"
"UTC+12 (Pacific/Kwajalein)","UTC+12 (太平洋/誇賈林島)"
"UTC+12 (Pacific/Majuro)","UTC+12 (太平洋/馬朱羅)"
"UTC+12 (Pacific/Nauru)","UTC+12 (太平洋/瑙魯)"
"UTC+12 (Pacific/Tarawa)","UTC+12 (太平洋/塔拉瓦)"
"UTC+12 (Pacific/Wake)","UTC+12 (太平洋/喚醒)"
"UTC+12 (Pacific/Wallis)","UTC+12 (太平洋/沃利斯)"
"UTC-02 (America/Noronha)","UTC-02 (美洲/迪諾羅尼亞)"
"UTC-02 (Atlantic/South_Georgia)","UTC-02 (大西洋/南喬治亞)"
"UTC-02 (Etc/GMT+2)","UTC-02 (ETC/GMT+2)"
"UTC-11 (Etc/GMT+11)","UTC-11 (ETC/GMT+11)"
"UTC-11 (Pacific/Midway)","UTC-11 (太平洋/中途島)"
"UTC-11 (Pacific/Niue)","UTC-11 (太平洋/紐埃島)"
"UTC-11 (Pacific/Pago_Pago)","UTC-11 (太平洋/帕果帕果)"
"Ulaanbaatar Standard Time (Asia/Choibalsan)","烏蘭巴托標準時間 (亞洲/喬巴山)"
"Ulaanbaatar Standard Time (Asia/Ulaanbaatar)","烏蘭巴托標準時間 (亞洲/烏蘭巴托)"
"Venezuela Standard Time (America/Caracas)","委內瑞拉標準時間 (美洲/加拉加斯)"
"Vladivostok Standard Time (Asia/Sakhalin)","海參崴標準時間 (亞洲/薩哈林島)"
"Vladivostok Standard Time (Asia/Ust-Nera)","海參崴標準時間 (亞洲/烏斯季挪拉)"
"Vladivostok Standard Time (Asia/Vladivostok)","海參崴標準時間 (亞洲/符拉迪沃斯托克)"
"W. Australia Standard Time (Antarctica/Casey)","澳大利亞西部標準時間 (南極洲/凱西)"
"W. Australia Standard Time (Australia/Perth)","澳大利亞西部標準時間 (澳大利亞/珀斯)"
"W. Central Africa Standard Time (Africa/Algiers)","中非西部標準時間 (非洲/阿爾及爾)"
"W. Central Africa Standard Time (Africa/Bangui)","中非西部標準時間 (非洲/班吉)"
"W. Central Africa Standard Time (Africa/Brazzaville)","中非西部標準時間 (非洲/布拉柴維爾)"
"W. Central Africa Standard Time (Africa/Douala)","中非西部標準時間 (非洲/杜阿拉)"
"W. Central Africa Standard Time (Africa/Kinshasa)","中非西部標準時間 (非洲/金沙薩)"
"W. Central Africa Standard Time (Africa/Lagos)","中非西部標準時間 (非洲/拉各斯)"
"W. Central Africa Standard Time (Africa/Libreville)","中非西部標準時間 (非洲/利伯維爾)"
"W. Central Africa Standard Time (Africa/Luanda)","中非西部標準時間 (非洲/羅安達)"
"W. Central Africa Standard Time (Africa/Malabo)","中非西部標準時間 (非洲/馬拉博)"
"W. Central Africa Standard Time (Africa/Ndjamena)","中非西部標準時間 (非洲/恩賈梅納)"
"W. Central Africa Standard Time (Africa/Niamey)","中非西部標準時間 (非洲/尼亞美)"
"W. Central Africa Standard Time (Africa/Porto-Novo)","中非西部標準時間 (非洲/波多諾伏)"
"W. Central Africa Standard Time (Africa/Tunis)","中非西部標準時間 (非洲/突尼斯)"
"W. Central Africa Standard Time (Etc/GMT-1)","中非西部標準時間 (ETC/GMT-1)"
"W. Europe Standard Time (Arctic/Longyearbyen)","歐洲西部標準時間 (北極/朗伊爾城)"
"W. Europe Standard Time (Europe/Amsterdam)","歐洲西部標準時間 (歐洲/阿姆斯特丹)"
"W. Europe Standard Time (Europe/Andorra)","歐洲西部標準時間 (歐洲/安道爾)"
"W. Europe Standard Time (Europe/Berlin)","歐洲西部標準時間 (歐洲/柏林)"
"W. Europe Standard Time (Europe/Busingen)","歐洲西部標準時間 (歐洲/布辛根)"
"W. Europe Standard Time (Europe/Gibraltar)","歐洲西部標準時間 (歐洲/直布羅陀)"
"W. Europe Standard Time (Europe/Luxembourg)","歐洲西部標準時間 (歐洲/盧森堡)"
"W. Europe Standard Time (Europe/Malta)","歐洲西部標準時間 (歐洲/馬耳他)"，
"W. Europe Standard Time (Europe/Monaco)","歐洲西部標準時間 (歐洲/摩納哥)"
"W. Europe Standard Time (Europe/Oslo)","歐洲西部標準時間 (歐洲/奧斯陸)"
"W. Europe Standard Time (Europe/Rome)","歐洲西部標準時間 (歐洲/羅馬)"
"W. Europe Standard Time (Europe/San_Marino)","歐洲西部標準時間 (歐洲/聖馬力諾)"
"W. Europe Standard Time (Europe/Stockholm)","歐洲西部標準時間 (歐洲/斯德哥爾摩)"
"W. Europe Standard Time (Europe/Vaduz)","歐洲西部標準時間 (歐洲/瓦杜茲)"
"W. Europe Standard Time (Europe/Vatican)","歐洲西部標準時間 (歐洲/梵蒂岡)"
"W. Europe Standard Time (Europe/Vienna)","歐洲西部標準時間 (歐洲/維也納)"
"W. Europe Standard Time (Europe/Zurich)","歐洲西部標準時間 (歐洲/蘇黎世)"
"West Asia Standard Time (Antarctica/Mawson)","西亞標準時間 (南極洲/莫森)"
"West Asia Standard Time (Asia/Aqtau)","西亞標準時間 (亞洲/阿克陶)"
"West Asia Standard Time (Asia/Aqtobe)","西亞標準時間 (亞洲/阿克托別)"
"West Asia Standard Time (Asia/Ashgabat)","西亞標準時間 (亞洲/阿什哈巴德)"
"West Asia Standard Time (Asia/Dushanbe)","西亞標準時間 (亞洲/杜尚別)"
"West Asia Standard Time (Asia/Oral)","西亞標準時間 (亞洲/口述)"
"West Asia Standard Time (Asia/Samarkand)","西亞標準時間 (亞洲/撒馬爾罕)"
"West Asia Standard Time (Asia/Tashkent)","西亞標準時間 (亞洲/塔什幹)"
"West Asia Standard Time (Etc/GMT-5)","西亞標準時間 (ETC/GMT-5)"
"West Asia Standard Time (Indian/Kerguelen)","西亞標準時間 (印度/凱爾蓋朗)"
"West Asia Standard Time (Indian/Maldives)","西亞標準時間 (印度/馬爾代夫)"
"West Pacific Standard Time (Antarctica/DumontDUrville)","西太平洋標準時間 (南極洲/杜蒙杜爾維爾)"
"West Pacific Standard Time (Etc/GMT-10)","西太平洋標準時間 (ETC/GMT-10)"
"West Pacific Standard Time (Pacific/Guam)","西太平洋標準時間 (太平洋/關島)"
"West Pacific Standard Time (Pacific/Port_Moresby)","西太平洋標準時間 (太平洋/莫爾茲比港)"
"West Pacific Standard Time (Pacific/Saipan)","西太平洋標準時間 (太平洋/塞班)"
"West Pacific Standard Time (Pacific/Truk)","西太平洋標準時間 (太平洋/特魯克)"
"Yakutsk Standard Time (Asia/Khandyga)","雅庫茨克標準時間 (亞洲/漢德加)"
"Yakutsk Standard Time (Asia/Yakutsk)","雅庫茨克標準時間 (亞洲/雅庫茨克)"
"Country Management","國家管理"
"Default Name","默認名稱"
"Add New Country","添加國家"
"Region Management","省管理"
"Add New Region","添加省"
"City Management","城市管理"
"Add New City","添加城市"
"County Management","縣管理"
"Add New County","添加縣"