"Enable DNT(Do Not Track) Checking","啟用DNT(請勿跟蹤)檢查"
"Enable Log Cleaning","啟用日誌清理"
"Enable Visiting Log","啟用訪問日誌"
"Expiration in days","日誌有效時間（天）"
"If set to ""Yes"" this option disables recently viewed products for not logged in customers.","如果設置為""是""將會停止記錄未登錄顧客的產品瀏覽記錄。"
"Logged-in Customers Only","僅登錄顧客可用"
"Log","日誌"
"Log Configuration","日誌配置"
"Logged Date","記錄日期"
"The url of other statistics code you want to use instead of the built-in code. This would disable recently viewed products.","其他代替內置統計代碼的Url。這將會禁用最近瀏覽產品功能。"
"This option will affect the statistics of data.","該選項將影響數據分析。"
"User Agent","用戶代理"